#chrom	txStart	txEnd	refseq	score	strand	symbol
chr12	32502106	32646051	NM_139241	0.000	+	FGD4
chr12	110534431	110583259	NM_139283	0.000	-	PPTC7
chr12	100357078	100422059	NM_139319	0.000	+	SLC17A8
chr12	54455951	54473602	NM_144594	0.000	-	GTSF1
chr12	121918556	122003926	NM_144668	0.000	+	WDR66
chr12	128853535	128984964	NM_144669	0.000	+	GLT1D1
chr12	8822553	8876785	NM_144670	0.000	+	A2ML1
chr12	111360650	111369121	NM_144671	0.000	-	FAM109A
chr12	31382222	31591018	NM_144973	0.000	-	DENND5B
chr12	71609600	71663969	NM_144982	0.000	-	ZFC3H1
chr12	123415388	123436717	NM_145058	0.000	-	RILPL2
chr12	57243454	57251193	NM_145064	0.000	-	STAC3
chr12	128793193	128823996	NM_145648	0.000	-	SLC15A4
chr12	16353416	16364410	NM_145764	0.000	+	MGST1
chr12	16347777	16364410	NM_145791	0.000	+	MGST1
chr12	16347141	16364410	NM_145792	0.000	+	MGST1
chr12	53295450	53299451	NM_145897	0.000	+	PFDN5
chr12	101156215	101210238	NM_145913	0.000	-	SLC5A8
chr12	50129305	50167533	NM_147190	0.000	-	CERS5
chr12	109783086	109814827	NM_147204	0.000	-	TRPV4
chr12	56923153	56934405	NM_148897	0.000	-	SDR9C7
chr12	106955765	106974035	NM_152261	0.000	+	TMEM263
chr12	123233296	123257959	NM_152269	0.000	+	C12orf65
chr12	100252263	100267079	NM_152317	0.000	-	DEPDC4
chr12	104986319	104994727	NM_152318	0.000	+	C12orf45
chr12	48482502	48496514	NM_152319	0.000	+	C12orf54
chr12	48340009	48350891	NM_152320	0.000	-	ZNF641
chr12	14914041	14938529	NM_152321	0.000	-	ERP27
chr12	95943292	95968592	NM_152435	0.000	+	AMDHD1
chr12	75391069	75424040	NM_152436	0.000	+	GLIPR1L2
chr12	123973214	124015439	NM_152437	0.000	+	ZNF664
chr12	31073844	31104791	NM_152438	0.000	+	DDX11
chr12	69653608	69689277	NM_152439	0.000	-	BEST3
chr12	64192638	64222296	NM_152440	0.000	-	C12orf66
chr12	1565992	1594165	NM_152441	0.000	-	FBXL14
chr12	110502199	110532086	NM_152442	0.000	+	RAD9B
chr12	82687154	83134286	NM_152588	0.000	+	TMTC2
chr12	87980038	88029399	NM_152589	0.000	-	C12orf50
chr12	25476081	25553283	NM_152590	0.000	-	IFLTD1
chr12	110846959	110907535	NM_152591	0.000	+	CCDC63
chr12	55681545	55684610	NM_152637	0.000	+	METTL7B
chr12	90952214	90955176	NM_152638	0.000	-	CCER1
chr12	1946047	2004511	NM_152640	0.000	-	DCP1B
chr12	45729836	45908036	NM_152641	0.000	+	ARID2
chr12	122167718	122203471	NM_152759	0.000	+	LRRC43
chr12	106302790	106347014	NM_152772	0.000	+	TCP11L2
chr12	75334682	75370389	NM_152779	0.000	+	GLIPR1L1
chr12	98734790	99984654	NM_152788	0.000	-	ANKS1B
chr12	53326575	53335753	NM_152860	0.000	-	SP7
chr12	96907222	96953691	NM_152905	0.000	+	NEDD1
chr12	133181408	133207111	NM_152943	0.000	+	ZNF268
chr12	23532296	24562449	NM_152989	0.000	-	SOX5
chr12	10178957	10191804	NM_153022	0.000	+	TMEM52B
chr12	42458337	42589770	NM_153026	0.000	-	PRICKLE1
chr12	19439673	19522239	NM_153207	0.000	+	AEBP2
chr12	116910955	117031148	NM_153348	0.000	+	FBXW8
chr12	58872154	58920538	NM_153377	0.000	-	LRIG3
chr12	7812511	7873039	NM_153449	0.000	-	SLC2A14
chr12	54053876	54056030	NM_153633	0.000	+	HOXC4
chr12	38652199	38905618	NM_153634	0.000	-	CPNE8
chr12	6693790	6700843	NM_153685	0.000	-	PIANP
chr12	54016851	54030823	NM_153693	0.000	+	HOXC6
chr12	101728647	101739472	NM_153694	0.000	-	SYCP3
chr12	75040077	75209748	NM_153748	0.000	-	KCNC2
chr12	13083536	13095806	NM_153823	0.000	-	GSG1
chr12	132618779	132622386	NM_170682	0.000	+	P2RX2
chr12	132618779	132622386	NM_170683	0.000	+	P2RX2
chr12	9722491	9733299	NM_172004	0.000	-	CLECL1
chr12	93467489	93503772	NM_172177	0.000	+	MRPL42
chr12	89419720	89526262	NM_172240	0.000	-	POC1B
chr12	1791956	1918704	NM_172364	0.000	-	CACNA2D4
chr12	52468515	52473785	NM_173086	0.000	-	KRT6C
chr12	52051401	52059507	NM_173157	0.000	+	NR4A1
chr12	71938845	72032441	NM_173353	0.000	+	TPH2
chr12	113358565	113389653	NM_173542	0.000	+	PLBD2
chr12	80209452	80379090	NM_173591	0.000	+	OTOGL
chr12	460376	561892	NM_173593	0.000	+	B4GALNT3
chr12	56230035	56237845	NM_173596	0.000	+	SLC39A5
chr12	117453011	117968223	NM_173598	0.000	-	KSR2
chr12	40393393	40570755	NM_173600	0.000	+	MUC19
chr12	42081845	42144871	NM_173601	0.000	-	GXYLT1
chr12	50504984	50748667	NM_173602	0.000	+	DIP2B
chr12	31659186	31669082	NM_173802	0.000	+	METTL20
chr12	63558912	63668574	NM_173812	0.000	-	DPY19L2
chr12	121651386	121669654	NM_173855	0.000	-	MORN3
chr12	53954929	53956566	NM_173860	0.000	+	HOXC12
chr12	132618779	132622386	NM_174872	0.000	+	P2RX2
chr12	132618779	132622386	NM_174873	0.000	+	P2RX2
chr12	7354960	7444153	NM_174941	0.000	-	CD163L1
chr12	40908356	41072411	NM_175038	0.000	+	CNTN1
chr12	52565818	52573825	NM_175053	0.000	-	KRT74
chr12	14770719	14771131	NM_175054	0.000	-	HIST4H4
chr12	52607569	52618559	NM_175068	0.000	-	KRT73
chr12	52689625	52703463	NM_175078	0.000	-	KRT77
chr12	69739389	69823204	NM_175623	0.000	+	RAB3IP
chr12	69738685	69823204	NM_175624	0.000	+	RAB3IP
chr12	69739389	69823204	NM_175625	0.000	+	RAB3IP
chr12	49637940	49707414	NM_175736	0.000	-	FMNL3
chr12	29500812	29784759	NM_175861	0.000	-	TMTC1
chr12	14803571	14823857	NM_175874	0.000	+	C12orf60
chr12	62601750	62603434	NM_175895	0.000	-	C12orf61
chr12	11091286	11092313	NM_176884	0.000	-	TAS2R43
chr12	11030386	11031407	NM_176885	0.000	-	TAS2R31
chr12	11061364	11062294	NM_176887	0.000	-	TAS2R46
chr12	11021671	11022571	NM_176888	0.000	-	TAS2R19
chr12	10995961	10997875	NM_176889	0.000	-	TAS2R20
chr12	10985912	10986912	NM_176890	0.000	-	TAS2R50
chr12	27524111	27695564	NM_177444	0.000	+	PPFIBP1
chr12	122701292	122703357	NM_177551	0.000	-	HCAR2
chr12	14774335	14778002	NM_177925	0.000	+	H2AFJ
chr12	23532296	23584612	NM_178010	0.000	-	SOX5
chr12	991237	1495933	NM_178039	0.000	+	ERC1
chr12	991237	1495933	NM_178040	0.000	+	ERC1
chr12	64610512	64697567	NM_178169	0.000	+	RASSF3
chr12	119334711	119541047	NM_178499	0.000	+	CCDC60
chr12	61708247	62192839	NM_178539	0.000	-	FAM19A2
chr12	100794595	101128641	NM_178826	0.000	+	ANO4
chr12	123459703	123466394	NM_180699	0.000	+	SNRNP35
chr12	14385063	14502935	NM_181352	0.000	+	ATF7IP
chr12	11185992	11186937	NM_181429	0.000	-	TAS2R42
chr12	114353929	114406163	NM_181486	0.000	-	TBX5
chr12	118016700	118032237	NM_181578	0.000	+	RFC5
chr12	98743973	99154799	NM_181670	0.000	-	ANKS1B
chr12	49836042	49843129	NM_181708	0.000	-	BCDIN3D
chr12	124289163	124316024	NM_181709	0.000	+	FAM101A
chr12	52006944	52015889	NM_181711	0.000	+	GRASP
chr12	88142295	88199887	NM_181783	0.000	+	TMTC3
chr12	48328979	48330279	NM_181788	0.000	+	H1FNT
chr12	47075706	47079951	NM_181847	0.000	-	AMIGO2
chr12	95867047	95942650	NM_182496	0.000	-	CCDC38
chr12	52168995	52192000	NM_182507	0.000	-	KRT80
chr12	50842917	50887880	NM_182559	0.000	+	TMPRSS12
chr12	51888008	51891721	NM_182608	0.000	+	ANKRD33
chr12	104286681	104350307	NM_182729	0.000	+	TXNRD1
chr12	104286681	104350307	NM_182742	0.000	+	TXNRD1
chr12	104286681	104350307	NM_182743	0.000	+	TXNRD1
chr12	84859487	84912829	NM_182767	0.000	-	SLC6A15
chr12	132921432	132956282	NM_183238	0.000	-	ZNF605
chr12	29427555	29497686	NM_183378	0.000	-	OVCH1
chr12	109477622	109536705	NM_183415	0.000	+	UBE3B
chr12	118981494	119163051	NM_194286	0.000	+	SRRM4
chr12	130789600	130839274	NM_194356	0.000	-	STX2
chr12	56202503	56221931	NM_194358	0.000	-	RNF41
chr12	56202503	56221969	NM_194359	0.000	-	RNF41
chr12	8123631	8138607	NM_194447	0.000	+	CLEC4A
chr12	8123631	8138607	NM_194448	0.000	+	CLEC4A
chr12	8123631	8138607	NM_194450	0.000	+	CLEC4A
chr12	10116780	10130269	NM_197947	0.000	-	CLEC7A
chr12	10116780	10130269	NM_197948	0.000	-	CLEC7A
chr12	10116780	10130269	NM_197949	0.000	-	CLEC7A
chr12	10116780	10130269	NM_197950	0.000	-	CLEC7A
chr12	10127322	10130269	NM_197954	0.000	-	CLEC7A
chr12	65278642	65466907	NM_198080	0.000	+	MSRB3
chr12	120579044	120581398	NM_198202	0.000	-	POP5
chr12	121020291	121039242	NM_198213	0.000	-	OASL
chr12	122271433	122422569	NM_198240	0.000	-	CLIP1
chr12	68851175	68933199	NM_198320	0.000	-	CPM
chr12	103301940	103496010	NM_198521	0.000	-	C12orf42
chr12	40225010	40369284	NM_198578	0.000	+	LRRK2
chr12	130953906	131141463	NM_198827	0.000	+	GPR133
chr12	49637940	49707414	NM_198900	0.000	-	FMNL3
chr12	27962320	27969961	NM_198964	0.000	-	PTHLH
chr12	27958083	27971983	NM_198965	0.000	-	PTHLH
chr12	27958083	27969961	NM_198966	0.000	-	PTHLH
chr12	33375412	33439819	NM_198992	0.000	-	SYT10
chr12	93377924	93403248	NM_199040	0.000	+	NUDT4
chr12	50400808	50480005	NM_199188	0.000	+	LARP4
chr12	50400808	50480005	NM_199190	0.000	+	LARP4
chr12	6462237	6470677	NM_199245	0.000	-	VAMP1
chr12	7711492	7717556	NM_199286	0.000	+	DPPA3
chr12	11351822	11355590	NM_199353	0.000	-	PRB1
chr12	11351822	11355590	NM_199354	0.000	-	PRB1
chr12	2053284	2697949	NM_199460	0.000	+	CACNA1C
chr12	12813345	12829981	NM_201224	0.000	+	DDX47
chr12	122774508	122827380	NM_201435	0.000	+	CCDC62
chr12	42326144	42399425	NM_201438	0.000	+	PPHLN1
chr12	42326144	42441963	NM_201439	0.000	+	PPHLN1
chr12	42326144	42441963	NM_201440	0.000	+	PPHLN1
chr12	2959311	3040676	NM_201441	0.000	+	TEAD4
chr12	7060675	7071031	NM_201442	0.000	+	C1S
chr12	2959581	3040676	NM_201443	0.000	+	TEAD4
chr12	55932027	55954023	NM_201444	0.000	+	DGKA
chr12	55932027	55954023	NM_201445	0.000	+	DGKA
chr12	42326144	42441963	NM_201515	0.000	+	PPHLN1
chr12	69608564	69611162	NM_201550	0.000	-	LRRC10
chr12	55932027	55954023	NM_201554	0.000	+	DGKA
chr12	9971408	9985595	NM_201623	0.000	+	CLEC12A
chr12	6904732	6914242	NM_201650	0.000	+	LRRC23
chr12	77021245	77065580	NM_203394	0.000	-	E2F7
chr12	7470815	7503818	NM_203416	0.000	-	CD163
chr12	122924524	122966509	NM_203444	0.000	-	ABCB9
chr12	7729414	7749473	NM_203503	0.000	-	CLEC4C
chr12	10010631	10017949	NM_205852	0.000	+	CLEC12B
chr12	101594930	101685880	NM_206819	0.000	+	MYBPC1
chr12	101594930	101685880	NM_206820	0.000	+	MYBPC1
chr12	101594930	101685880	NM_206821	0.000	+	MYBPC1
chr12	55636891	55637833	NM_206899	0.000	+	OR10P1
chr12	119989843	120094495	NM_207311	0.000	+	CCDC64
chr12	56468516	56470983	NM_207344	0.000	+	SPRYD4
chr12	10030676	10065966	NM_207345	0.000	+	CLEC9A
chr12	110041177	110067695	NM_207435	0.000	-	C12orf76
chr12	123762494	123935720	NM_207437	0.000	+	DNAH10
chr12	106582906	106762804	NM_213594	0.000	+	RFX4
chr12	109277977	109309220	NM_213596	0.000	-	FOXN4
chr12	752922	911452	NM_213655	0.000	+	WNK1
chr12	10446035	10454616	NM_213657	0.000	-	KLRC1
chr12	10446035	10454616	NM_213658	0.000	-	KLRC1
chr12	56645026	56645101	NR_002737	0.000	-	SNORD59A
chr12	13000441	13004830	NR_002774	0.000	+	HTR7P1
chr12	6883980	6884604	NR_002803	0.000	+	RPL13P5
chr12	121795266	121803484	NR_002809	0.000	-	LINC01089
chr12	9648046	9658414	NR_002814	0.000	+	LOC374443
chr12	48656647	48656782	NR_002950	0.000	-	SNORA2A
chr12	48667456	48667593	NR_002951	0.000	-	SNORA2B
chr12	48654381	48654518	NR_002968	0.000	-	SNORA34
chr12	6967336	6967606	NR_003010	0.000	-	SCARNA12
chr12	6581472	6581609	NR_003012	0.000	-	SCARNA11
chr12	54608186	54610462	NR_003039	0.000	-	GLYCAM1
chr12	56643679	56643754	NR_003046	0.000	-	SNORD59B
chr12	54016851	54035360	NR_003084	0.000	+	HOXC5
chr12	53962307	53968756	NR_003716	0.000	-	HOTAIR
chr12	12875476	12876136	NR_003932	0.000	+	RPL13AP20
chr12	6510221	6510551	NR_004387	0.000	+	SCARNA10
chr12	6439000	6451517	NR_015382	0.000	-	CD27-AS1
chr12	126442480	126472785	NR_015398	0.000	+	LOC100128554
chr12	111839768	111842902	NR_015404	0.000	-	MAPKAPK5-AS1
chr12	6943815	6943878	NR_023317	0.000	+	RNU7-1
chr12	97465020	97533766	NR_024037	0.000	+	RMST
chr12	12355407	12357067	NR_024061	0.000	-	LOH12CR2
chr12	71848293	71850983	NR_024072	0.000	-	MRS2P2
chr12	119283824	119303380	NR_024246	0.000	-	LINC00934
chr12	8231048	8242946	NR_024254	0.000	-	FAM86FP
chr12	8082210	8097777	NR_024260	0.000	+	NECAP1
chr12	100165049	100173343	NR_024261	0.000	-	GOLGA2P5
chr12	120969837	120972292	NR_024345	0.000	-	HNF1A-AS1
chr12	9283656	9314088	NR_024374	0.000	+	LOC642846
chr12	8356963	8390752	NR_024420	0.000	-	LINC00937
chr12	130033811	130042342	NR_024457	0.000	-	LOC100190940
chr12	132275390	132280900	NR_024563	0.000	+	LOC100130238
chr12	47208419	47216443	NR_026544	0.000	-	PCED1B-AS1
chr12	53711117	53727523	NR_026554	0.000	-	CALCOCO1
chr12	6747991	6753470	NR_026581	0.000	-	MLF2
chr12	45062617	45065411	NR_026583	0.000	-	RACGAP1P
chr12	54058253	54122234	NR_026655	0.000	+	FLJ12825
chr12	54126070	54132842	NR_026656	0.000	+	LOC400043
chr12	54102208	54102699	NR_026657	0.000	+	LOC100240734
chr12	54078838	54081823	NR_026658	0.000	-	LOC100240735
chr12	109734208	109773487	NR_026661	0.000	-	FAM222A-AS1
chr12	109734208	109773487	NR_026662	0.000	-	FAM222A-AS1
chr12	131165010	131212931	NR_026670	0.000	+	LINC01257
chr12	55752462	55817756	NR_026722	0.000	-	SARNP
chr12	55752462	55817756	NR_026723	0.000	-	SARNP
chr12	8180208	8201000	NR_026788	0.000	+	FAM66C
chr12	31324315	31325945	NR_026806	0.000	+	FLJ13224
chr12	65758020	65826974	NR_026825	0.000	-	RPSAP52
chr12	72262546	72273509	NR_026836	0.000	-	TRHDE-AS1
chr12	72253506	72273509	NR_026837	0.000	-	TRHDE-AS1
chr12	51186935	51217693	NR_026893	0.000	-	POU6F1
chr12	7108307	7121851	NR_026947	0.000	+	C1RL-AS1
chr12	49908882	49911863	NR_026948	0.000	-	LOC283332
chr12	9065176	9068055	NR_026971	0.000	+	A2M-AS1
chr12	98512972	98516226	NR_027157	0.000	-	TMPO-AS1
chr12	116533421	116535521	NR_027345	0.000	+	LINC00173
chr12	116533434	116536513	NR_027346	0.000	+	LINC00173
chr12	52210929	52223813	NR_027358	0.000	+	LINC00592
chr12	71839706	71926849	NR_027449	0.000	+	TBC1D15
chr12	49582874	49605627	NR_027450	0.000	-	FAM186B
chr12	49828542	49841154	NR_027499	0.000	+	BCDIN3D-AS1
chr12	49828542	49841154	NR_027500	0.000	+	BCDIN3D-AS1
chr12	49828542	49841154	NR_027501	0.000	+	BCDIN3D-AS1
chr12	14774335	14778002	NR_027716	0.000	+	H2AFJ
chr12	122774508	122827380	NR_027918	0.000	+	CCDC62
chr12	92421530	92431002	NR_027932	0.000	+	CLLU1
chr12	92421530	92431002	NR_027933	0.000	+	CLLU1
chr12	991237	1495933	NR_027946	0.000	+	ERC1
chr12	991237	1495933	NR_027948	0.000	+	ERC1
chr12	991237	1495933	NR_027949	0.000	+	ERC1
chr12	89708954	89711952	NR_028138	0.000	+	LINC00936
chr12	45725719	45727921	NR_028408	0.000	-	LINC00938
chr12	1500490	1504424	NR_028415	0.000	+	LINC00942
chr12	57230327	57234935	NR_029415	0.000	+	SHMT2
chr12	57230044	57234935	NR_029416	0.000	+	SHMT2
chr12	57229572	57234935	NR_029417	0.000	+	SHMT2
chr12	48727434	48765785	NR_029448	0.000	+	LINC00935
chr12	48727434	48765786	NR_029449	0.000	+	LINC00935
chr12	24566963	24584168	NR_029451	0.000	-	LINC00477
chr12	53991737	53991847	NR_029617	0.000	+	MIR196A2
chr12	62603685	62603769	NR_029661	0.000	+	MIRLET7I
chr12	97563811	97563911	NR_029678	0.000	+	MIR135A2
chr12	6964096	6964191	NR_029682	0.000	+	MIR141
chr12	6963698	6963766	NR_029779	0.000	+	MIR200C
chr12	95308419	95308513	NR_029895	0.000	+	MIR331
chr12	94834397	94834513	NR_030171	0.000	+	MIR492
chr12	12764648	12764743	NR_030344	0.000	+	MIR613
chr12	12915828	12915918	NR_030345	0.000	+	MIR614
chr12	64622508	64622605	NR_030347	0.000	+	MIR548C
chr12	80832532	80832629	NR_030348	0.000	-	MIR617
chr12	80935735	80935833	NR_030349	0.000	-	MIR618
chr12	108836907	108837006	NR_030350	0.000	-	MIR619
chr12	116148559	116148654	NR_030351	0.000	-	MIR620
chr12	24212420	24212495	NR_030625	0.000	+	MIR920
chr12	54033949	54034045	NR_030753	0.000	+	MIR615
chr12	119713633	119713724	NR_031589	0.000	-	MIR1178
chr12	57194503	57194576	NR_031597	0.000	+	MIR1228
chr12	48654443	48654530	NR_031623	0.000	-	MIR1291
chr12	50234141	50234212	NR_031625	0.000	-	MIR1293
chr12	112695033	112695176	NR_031631	0.000	-	MIR1302-1
chr12	97491908	97491978	NR_031653	0.000	+	MIR1251
chr12	69273156	69273218	NR_031692	0.000	-	MIR1279
chr12	79419256	79419321	NR_031700	0.000	+	MIR1252
chr12	100189883	100189949	NR_031728	0.000	+	MIR1827
chr12	117038922	117099446	NR_031766	0.000	-	TESC
chr12	82352303	82358805	NR_033192	0.000	-	CCDC59
chr12	50400808	50461489	NR_033200	0.000	+	LARP4
chr12	49389173	49392333	NR_033267	0.000	+	LOC100335030
chr12	68627233	68627375	NR_033335	0.000	-	SNORA70G
chr12	9417690	9448172	NR_033399	0.000	-	DDX12P
chr12	87782885	87784711	NR_033410	0.000	-	MKRN9P
chr12	50985991	51026416	NR_033421	0.000	-	SLC11A2
chr12	50979782	51026416	NR_033422	0.000	-	SLC11A2
chr12	57009996	57016560	NR_033654	0.000	-	TAC3
chr12	57095404	57111413	NR_033659	0.000	-	STAT6
chr12	6884681	6885786	NR_033796	0.000	+	DSTNP2
chr12	98453840	98457145	NR_033801	0.000	-	SLC9A7P1
chr12	130151592	130161678	NR_033834	0.000	-	FZD10-AS1
chr12	102809282	102824399	NR_033855	0.000	-	LINC00485
chr12	137410	149166	NR_033859	0.000	-	LOC574538
chr12	126730700	126772262	NR_033878	0.000	-	LINC00944
chr12	11548029	11564401	NR_033890	0.000	+	LINC01252
chr12	121132827	121186551	NR_033948	0.000	+	P2RX7
chr12	121132827	121186551	NR_033949	0.000	+	P2RX7
chr12	121132827	121186551	NR_033950	0.000	+	P2RX7
chr12	121132827	121186551	NR_033951	0.000	+	P2RX7
chr12	121132827	121186551	NR_033952	0.000	+	P2RX7
chr12	121132818	121186551	NR_033953	0.000	+	P2RX7
chr12	121132827	121186551	NR_033954	0.000	+	P2RX7
chr12	121132827	121186551	NR_033955	0.000	+	P2RX7
chr12	121132827	121186551	NR_033956	0.000	+	P2RX7
chr12	126869493	126874690	NR_033970	0.000	-	LOC440117
chr12	127881616	127898639	NR_033987	0.000	+	FLJ37505
chr12	64883773	64977522	NR_033988	0.000	+	FLJ41278
chr12	42157104	42238349	NR_034000	0.000	-	YAF2
chr12	125958685	125983374	NR_034132	0.000	-	LINC00939
chr12	9055588	9065070	NR_034140	0.000	-	LINC00612
chr12	9239469	9239551	NR_036052	0.000	-	MIR1244-1
chr12	12111951	12112033	NR_036052	0.000	+	MIR1244-1
chr12	123010666	123010728	NR_036187	0.000	-	MIR4304
chr12	25874019	25874079	NR_036188	0.000	-	MIR4302
chr12	97995382	97995448	NR_036189	0.000	-	MIR4303
chr12	9239469	9239551	NR_036262	0.000	-	MIR1244-2
chr12	12111951	12112033	NR_036262	0.000	+	MIR1244-2
chr12	9239469	9239551	NR_036263	0.000	-	MIR1244-3
chr12	12111951	12112033	NR_036263	0.000	+	MIR1244-3
chr12	122504642	122527013	NR_036434	0.000	-	RSRC2
chr12	122504642	122527013	NR_036435	0.000	-	RSRC2
chr12	122504642	122527013	NR_036436	0.000	-	RSRC2
chr12	8133768	8134852	NR_036440	0.000	-	POU5F1P3
chr12	9240002	9243049	NR_036466	0.000	+	LINC00987
chr12	6539527	6556083	NR_036467	0.000	-	IFFO1
chr12	55829607	55836246	NR_036476	0.000	+	TMEM198B
chr12	55829607	55836246	NR_036477	0.000	+	TMEM198B
chr12	55829607	55836246	NR_036478	0.000	+	TMEM198B
chr12	55829607	55836246	NR_036479	0.000	+	TMEM198B
chr12	110936601	110937446	NR_036513	0.000	+	LOC100131138
chr12	1929201	1936576	NR_036546	0.000	-	LINC00940
chr12	13370670	13376745	NR_036555	0.000	-	C12orf36
chr12	16988746	16990628	NR_036619	0.000	+	SKP1P2
chr12	100156395	100173343	NR_036632	0.000	-	GOLGA2P5
chr12	111899062	111901902	NR_036636	0.000	+	ADAM1A
chr12	94834453	94835028	NR_036685	0.000	+	KRT19P2
chr12	9669707	9699555	NR_036693	0.000	+	CLEC2D
chr12	45173033	45216006	NR_037144	0.000	-	PLEKHA8P1
chr12	128294091	128294178	NR_037406	0.000	+	MIR3612
chr12	1660314	1660380	NR_037422	0.000	-	MIR3649
chr12	112037598	112037715	NR_037430	0.000	-	MIR3657
chr12	95309922	95309984	NR_037456	0.000	+	MIR3685
chr12	69584721	69584823	NR_037475	0.000	-	MIR3913-1
chr12	69584722	69584822	NR_037476	0.000	+	MIR3913-2
chr12	104591632	104591716	NR_037487	0.000	+	MIR3922
chr12	64622508	64622605	NR_037515	0.000	-	MIR548Z
chr12	70243713	70354993	NR_037615	0.000	+	CNOT2
chr12	107903149	107903771	NR_037629	0.000	-	LOC728739
chr12	55716033	55719707	NR_037655	0.000	+	BLOC1S1
chr12	55716291	55719707	NR_037656	0.000	+	BLOC1S1
chr12	55716291	55719707	NR_037657	0.000	+	BLOC1S1
chr12	55716033	55724742	NR_037658	0.000	+	BLOC1S1-RDH5
chr12	89419720	89526262	NR_037659	0.000	-	POC1B
chr12	89419720	89525567	NR_037660	0.000	-	POC1B
chr12	94262520	94307675	NR_037687	0.000	+	PLXNC1
chr12	10845848	11171625	NR_037918	0.000	-	PRH1-PRR4
chr12	109553715	109573553	NR_038118	0.000	-	MMAB
chr12	93467489	93503772	NR_038159	0.000	+	MRPL42
chr12	93467489	93503772	NR_038160	0.000	+	MRPL42
chr12	93467489	93503772	NR_038161	0.000	+	MRPL42
chr12	30709551	30754514	NR_038177	0.000	-	CAPRIN2
chr12	25954654	25957585	NR_038227	0.000	-	RASSF8-AS1
chr12	25954654	25959442	NR_038228	0.000	-	RASSF8-AS1
chr12	95217745	95302790	NR_038241	0.000	+	VEZT
chr12	95217745	95302790	NR_038242	0.000	+	VEZT
chr12	126737006	126746254	NR_038256	0.000	+	LINC00943
chr12	93565627	93571398	NR_038263	0.000	-	SOCS2-AS1
chr12	57931448	57936164	NR_038269	0.000	-	LOC100506844
chr12	123081383	123084744	NR_038290	0.000	+	LOC100507091
chr12	74133175	74292631	NR_038300	0.000	-	LOC100507377
chr12	98485543	98503855	NR_038383	0.000	-	LOC643770
chr12	89011125	89019692	NR_038385	0.000	-	LOC728084
chr12	114408194	114412832	NR_038440	0.000	+	TBX5-AS1
chr12	90918022	90948669	NR_038868	0.000	+	LINC00615
chr12	106680757	106684700	NR_038912	0.000	-	LOC100505978
chr12	12979836	12984642	NR_038920	0.000	+	LOC100506314
chr12	120201290	120212828	NR_038924	0.000	+	PXN-AS1
chr12	31020762	31073847	NR_038927	0.000	-	DDX11-AS1
chr12	68674370	68686859	NR_038930	0.000	-	LOC100507250
chr12	109052040	109053965	NR_038996	0.000	-	USP30-AS1
chr12	116428251	116428318	NR_039683	0.000	-	MIR4472-2
chr12	47364185	47364269	NR_039715	0.000	-	MIR4494
chr12	97939055	97939121	NR_039716	0.000	-	MIR4495
chr12	108635809	108635870	NR_039717	0.000	+	MIR4496
chr12	109833347	109833436	NR_039718	0.000	+	MIR4497
chr12	120155433	120155499	NR_039719	0.000	-	MIR4498
chr12	128244505	128244573	NR_039720	0.000	+	MIR4419B
chr12	17673298	17673394	NR_039770	0.000	+	MIR3974
chr12	47187811	47187891	NR_039847	0.000	+	MIR4698
chr12	81158387	81158461	NR_039848	0.000	+	MIR4699
chr12	48771974	48772037	NR_039850	0.000	-	MIR4701
chr12	54231396	54231476	NR_039851	0.000	-	MIR3198-2
chr12	56202503	56221931	NR_040053	0.000	-	RNF41
chr12	93003757	93377736	NR_040096	0.000	-	LOC643339
chr12	20014684	20098868	NR_040098	0.000	+	LOC100506393
chr12	9228532	9234207	NR_040112	0.000	-	A2MP1
chr12	30795680	30802711	NR_040245	0.000	+	LINC00941
chr12	106496409	106774831	NR_040246	0.000	-	LOC100287944
chr12	64610512	64697567	NR_040718	0.000	+	RASSF3
chr12	16548371	16608214	NR_045012	0.000	-	LMO3
chr12	16548371	16608214	NR_045013	0.000	-	LMO3
chr12	16548371	16608214	NR_045014	0.000	-	LMO3
chr12	51048316	51060424	NR_045017	0.000	+	LETMD1
chr12	51048298	51060424	NR_045018	0.000	+	LETMD1
chr12	51048298	51060424	NR_045019	0.000	+	LETMD1
chr12	51048298	51060424	NR_045020	0.000	+	LETMD1
chr12	54181454	54188994	NR_045039	0.000	-	SMUG1
chr12	51061204	51083654	NR_045072	0.000	-	CSRNP2
chr12	56712426	56725282	NR_045277	0.000	-	NACA
chr12	122395541	122399944	NR_045382	0.000	+	CLIP1-AS1
chr12	2676000	2691157	NR_045725	0.000	-	CACNA1C-AS1
chr12	91984975	92141713	NR_046159	0.000	-	C12orf79
chr12	91984975	92142671	NR_046160	0.000	-	C12orf79
chr12	53513983	53517608	NR_046221	0.000	+	LOC100652999
chr12	121209860	121234106	NR_046372	0.000	+	P2RX4
chr12	121209860	121234106	NR_046373	0.000	+	P2RX4
chr12	50057636	50083622	NR_046389	0.000	+	ASIC1
chr12	127915409	127951552	NR_046392	0.000	+	LINC00507
chr12	9648046	9658414	NR_046444	0.000	+	LOC374443
chr12	9648046	9658414	NR_046445	0.000	+	LOC374443
chr12	9648046	9658414	NR_046446	0.000	+	LOC374443
chr12	9648046	9658414	NR_046447	0.000	+	LOC374443
chr12	9633418	9658414	NR_046448	0.000	+	LOC374443
chr12	9642867	9658414	NR_046449	0.000	+	LOC374443
chr12	9617283	9658414	NR_046450	0.000	+	LOC374443
